job_title,level,min_salary,max_salary,min_exp,max_exp,job_description,soft_skill,hard_skill,interest,education,job_category,job_id
Supply Chain Manager,Senior,80000,120000,5,10,"Oversees the entire supply chain process, from procurement to delivery. Develops strategies, manages budgets, and ensures efficient operations across all logistics functions.",Leadership|Strategic Thinking|Decision Making|Stakeholder Management|Business Acumen,Supply Chain Management|Logistics|Data Analysis|Strategic Planning|Forecasting|Budgeting,Supply Chain|Logistics|Strategic Planning|Business Strategy|Operations Management|Data Analysis,Master's in Supply Chain Management|Bachelor's in Business Administration,Transportation,Transportation
Transportation Manager,Senior,75000,110000,5,9,"Manages transportation operations, including route planning and fleet management. Ensures compliance with regulations, optimizes costs, and leads a team of coordinators.",Leadership|Strategic Thinking|Team Leadership|Decision Making|Cost Consciousness,Logistics|Fleet Management|Route Optimization|Data Analysis|Supply Chain Management|Budgeting,Transportation|Logistics|Supply Chain|Strategic Planning|Operations Management,Master's in Transportation Engineering|Bachelor's in Operations Management,Transportation,Transportation
Warehouse Manager,Senior,70000,100000,4,8,"Manages all warehouse activities, including staffing, inventory control, and safety protocols. Implements process improvements and oversees facility maintenance.",Leadership|Organization|Performance Management|Problem Solving|Safety Consciousness,Inventory Management|Logistics|Quality Control|Process Improvement|Excel|Budgeting,Logistics|Supply Chain|Inventory Management|Operations Management|Process Improvement|Team Leadership,Bachelor's in Business Administration|Master's in Operations Management,Transportation,Transportation
Fleet Manager,Senior,72000,105000,5,9,"Directs fleet operations, ensuring vehicle availability and compliance. Negotiates contracts with vendors, monitors fuel costs, and develops maintenance schedules.",Leadership|Decision Making|Organization|Cost Consciousness|Stakeholder Management,Fleet Management|Logistics|Data Analysis|Vehicle Maintenance|Contract Negotiation|Budgeting,Logistics|Fleet Management|Transportation|Business Operations|Strategic Planning,Bachelor's in Operations Management|Master's in Business Administration,Transportation,Transportation
Air Traffic Controller,Senior,90000,140000,5,10,"Manages aircraft movements in airspace and on the ground. Ensures safe takeoffs and landings, monitors radar, and communicates with pilots.",Decision Making|Attention to Detail|Stress Management|Communication|Crisis Management,Air Traffic Control Systems|Aviation Operations|Data Analysis|Safety Regulations|Communication Systems,Aviation|Safety|Data Analysis|Operations Management|Technology,Bachelor's in Aviation|Certificate in Air Traffic Control,Transportation,Transportation
Shipping Clerk,Junior,32000,46000,0,2,"Prepares and processes shipping documents. Tracks shipments, verifies orders, and coordinates with carriers to ensure accurate delivery.",Organization|Attention to Detail|Communication|Time Management|Adaptability,Logistics|Inventory Management|Excel|Shipping Software|Data Preprocessing,Logistics|Supply Chain|Inventory Management|Business Operations|Data Analysis,Associate's in Business Administration|Certificate in Logistics,Transportation,Transportation
Inventory Control Specialist,Mid,45000,65000,2,5,"Monitors and manages inventory levels to prevent stockouts or overstocking. Conducts audits, analyzes data, and implements inventory tracking systems.",Analytical Thinking|Attention to Detail|Organization|Problem Solving|Time Management,Inventory Management|Data Analysis|Excel|Quality Control|Forecasting,Supply Chain|Inventory Management|Data Analysis|Operations Management|Process Optimization,Bachelor's in Business Analytics|Associate's in Supply Chain Management,Transportation,Transportation
Customs Broker,Mid,50000,75000,3,6,Facilitates the import/export process by preparing customs documentation. Ensures compliance with international trade laws and negotiates with customs officials.,Negotiation|Communication|Analytical Thinking|Attention to Detail|Cultural Awareness,Customs Documentation|Logistics|Regulatory Compliance|Data Analysis|Contract Negotiation,Global Business|Supply Chain|Logistics|Business Operations|Regulatory Compliance,Bachelor's in International Business|Certificate in Customs Brokerage,Transportation,Transportation
Railway Operator,Junior,38000,55000,1,3,"Operates trains to transport goods or passengers. Performs safety checks, follows schedules, and communicates with control centers.",Attention to Detail|Safety Consciousness|Adaptability|Patience|Technical Understanding,Railway Systems|Logistics|Safety Regulations|Technical Maintenance|Data Preprocessing,Transportation|Logistics|Safety|Operations Management|Technology,Certificate in Railway Operations|Associate's in Operations Management,Transportation,Transportation
Aviation Mechanic,Mid,50000,80000,2,5,"Inspects, repairs, and maintains aircraft to ensure safety and performance. Diagnoses mechanical issues and complies with aviation regulations.",Problem Solving|Attention to Detail|Technical Understanding|Team Leadership|Safety Consciousness,Aviation Maintenance|Technical Maintenance|Quality Control|Safety Regulations|Data Analysis,Aviation|Technology|Safety|Engineering|Operations Management,Certificate in Aviation Maintenance|Associate's in Engineering,Transportation,Transportation
Logistics Consultant,Senior,85000,130000,5,10,"Advises companies on improving logistics and supply chain strategies. Analyzes operations, recommends solutions, and implements process optimizations.",Strategic Thinking|Analytical Thinking|Communication|Problem Solving|Business Acumen,Supply Chain Management|Data Analysis|Strategic Planning|Logistics|Forecasting|Business Analysis,Supply Chain|Business Strategy|Data Analysis|Operations Management|Process Improvement|Strategic Planning,Master's in Supply Chain Management|Bachelor's in Business Administration,Transportation,Transportation
Courier,Junior,30000,45000,0,2,"Delivers small packages and documents to clients. Manages delivery routes, ensures timely service, and maintains customer satisfaction.",Time Management|Customer Relations|Adaptability|Attention to Detail|Self-motivation,GPS Navigation|Logistics|Customer Service|Time Management|Vehicle Operation,Logistics|Customer Relations|Transportation|Mobile Technology|Customer Service,Certificate in Logistics|High School Diploma,Transportation,Transportation
Distribution Manager,Senior,75000,115000,5,9,"Oversees the distribution of goods from warehouses to destinations. Manages teams, optimizes delivery networks, and ensures cost-effective operations.",Leadership|Strategic Thinking|Decision Making|Organization|Stakeholder Management,Logistics|Supply Chain Management|Inventory Management|Data Analysis|Route Optimization|Budgeting,Supply Chain|Logistics|Operations Management|Strategic Planning|Inventory Management,Master's in Supply Chain Management|Bachelor's in Operations Management,Transportation,Transportation
Traffic Manager,Mid,55000,80000,3,6,"Monitors and manages traffic flow for transportation operations. Analyzes data, reduces delays, and ensures efficient movement of goods.",Analytical Thinking|Problem Solving|Communication|Time Management|Decision Making,Traffic Analysis|Data Analysis|GIS|Logistics|Route Optimization,Transportation|Data Analysis|Logistics|Operations Management|Strategic Planning,Bachelor's in Operations Management|Master's in Transportation Engineering,Transportation,Transportation
Forklift Operator,Junior,32000,48000,0,2,"Operates forklifts to move goods within warehouses or distribution centers. Ensures safe handling, performs equipment checks, and follows safety guidelines.",Attention to Detail|Safety Consciousness|Adaptability|Team Leadership|Physical Stamina,Forklift Operation|Inventory Management|Safety Regulations|Logistics|Quality Control,Logistics|Safety|Inventory Management|Operations Management|Technology,Certificate in Forklift Operation|High School Diploma,Transportation,Transportation
Port Operator,Mid,45000,70000,2,5,"Manages cargo loading and unloading at ports. Coordinates with ships, ensures compliance with port regulations, and maintains operational efficiency.",Team Leadership|Organization|Attention to Detail|Safety Consciousness|Communication,Port Operations|Logistics|Inventory Management|Safety Regulations|Data Analysis,Logistics|Supply Chain|Operations Management|Safety|Global Business,Bachelor's in Operations Management|Certificate in Port Operations,Transportation,Transportation
Supply Chain Analyst,Mid,55000,80000,2,5,"Evaluates supply chain performance using data analytics. Identifies inefficiencies, forecasts demand, and supports strategic decision-making.",Analytical Thinking|Problem Solving|Strategic Thinking|Communication|Attention to Detail,Supply Chain Management|Data Analysis|Forecasting|Excel|Statistical Analysis|Business Analysis,Supply Chain|Data Analysis|Business Analysis|Operations Management|Process Optimization|Strategic Planning,Bachelor's in Business Analytics|Master's in Supply Chain Management,Transportation,Transportation
Route Optimizer,Mid,50000,75000,2,5,"Designs optimal delivery routes to minimize costs and time. Uses software tools, analyzes traffic data, and collaborates with planners.",Analytical Thinking|Problem Solving|Time Management|Spatial Thinking|Communication,Route Optimization|GIS|Data Analysis|Logistics|Excel,Transportation|Logistics|Data Analysis|Supply Chain|Technology,Bachelor's in Operations Management|Master's in Data Science,Transportation,Transportation
Cargo Inspector,Junior,35000,52000,1,3,"Inspects cargo for compliance with safety and regulatory standards. Documents findings, reports discrepancies, and ensures proper handling.",Attention to Detail|Analytical Thinking|Safety Consciousness|Communication|Organization,Cargo Inspection|Quality Control|Logistics|Safety Regulations|Data Analysis,Logistics|Safety|Supply Chain|Quality Control|Operations Management,Certificate in Logistics|Associate's in Business Administration,Transportation,Transportation
Airline Pilot,Senior,100000,160000,5,10,"Flies aircraft to transport passengers or cargo. Conducts pre-flight checks, follows flight plans, and ensures passenger safety and comfort.",Decision Making|Attention to Detail|Stress Management|Leadership|Safety Consciousness,Flight Operations|Aviation Operations|Safety Regulations|Navigation Systems|Technical Maintenance,Aviation|Transportation|Safety|Technology|Operations Management,Bachelor's in Aviation|Certificate in Flight Training,Transportation,Transportation
Freight Broker,Mid,50000,80000,3,6,"Connects shippers with carriers to transport goods. Negotiates rates, manages contracts, and ensures timely freight movement.",Negotiation|Communication|Persuasion|Relationship Building|Analytical Thinking,Contract Negotiation|Logistics|Supply Chain Management|Data Analysis|CRM,Supply Chain|Logistics|Business Development|Negotiation|Client Relations,Bachelor's in Business Administration|Associate's in Marketing,Transportation,Transportation
Ground Crew Member,Junior,32000,48000,0,2,"Supports airport operations by loading baggage, refueling aircraft, and guiding planes. Ensures safety and efficiency on the tarmac.",Team Leadership|Attention to Detail|Safety Consciousness|Adaptability|Communication,Aviation Operations|Safety Regulations|Ground Handling|Inventory Management|Quality Control,Aviation|Logistics|Safety|Operations Management|Team Management,Certificate in Aviation Operations|Associate's in Business Administration,Transportation,Transportation
Logistics Operations Manager,Senior,80000,125000,5,10,"Leads logistics operations, overseeing transportation, warehousing, and distribution. Develops policies, manages budgets, and ensures operational goals are met.",Leadership|Strategic Thinking|Decision Making|Stakeholder Management|Problem Solving,Logistics|Supply Chain Management|Data Analysis|Strategic Planning|Budgeting|Process Improvement,Logistics|Supply Chain|Operations Management|Strategic Planning|Data Analysis|Business Strategy,Master's in Supply Chain Management|Bachelor's in Operations Management,Transportation,Transportation
Supply Chain Coordinator,Junior,38000,55000,1,3,"Supports supply chain activities by coordinating shipments and inventory. Tracks orders, resolves issues, and communicates with suppliers.",Communication|Organization|Time Management|Team Leadership|Adaptability,Logistics|Supply Chain Management|Excel|Inventory Management|Data Analysis,Supply Chain|Logistics|Operations Management|Data Analysis|Team Management,Bachelor's in Supply Chain Management|Associate's in Business Administration,Transportation,Transportation
Transportation Safety Officer,Mid,55000,85000,3,6,"Ensures transportation operations comply with safety regulations. Conducts inspections, trains staff, and develops safety protocols.",Safety Consciousness|Analytical Thinking|Communication|Decision Making|Leadership,Safety Regulations|Risk Assessment|Data Analysis|Logistics|Regulatory Compliance,Safety|Transportation|Logistics|Risk Management|Regulatory Compliance,Bachelor's in Public Health|Certificate in Safety Management,Transportation,Transportation
Railway Dispatcher,Mid,50000,75000,2,5,"Coordinates train movements and schedules. Monitors rail traffic, resolves delays, and ensures safe and efficient operations.",Decision Making|Attention to Detail|Communication|Problem Solving|Crisis Management,Railway Systems|Dispatch Software|Data Analysis|Logistics|Safety Regulations,Transportation|Logistics|Operations Management|Safety|Data Analysis,Bachelor's in Operations Management|Certificate in Railway Operations,Transportation,Transportation
Bus Driver,Junior,35000,52000,0,3,"Operates buses to transport passengers along fixed routes. Ensures safety, follows schedules, and assists passengers as needed.",Patience|Customer Relations|Safety Consciousness|Adaptability|Attention to Detail,Vehicle Operation|GPS Navigation|Safety Regulations|Customer Service|Basic Maintenance,Transportation|Safety|Customer Relations|Logistics|Public Service,Certificate in Commercial Driving|High School Diploma,Transportation,Transportation
Dock Worker,Junior,30000,45000,0,2,"Loads and unloads cargo at docks or warehouses. Operates equipment, verifies shipments, and maintains a safe work environment.",Team Leadership|Attention to Detail|Safety Consciousness|Physical Stamina|Adaptability,Dock Operations|Inventory Management|Safety Regulations|Logistics|Quality Control,Logistics|Supply Chain|Safety|Inventory Management|Operations Management,Certificate in Warehouse Operations|Associate's in Business Administration,Transportation,Transportation
Aviation Safety Inspector,Senior,80000,120000,5,9,"Inspects aircraft and operations to ensure compliance with safety standards. Investigates incidents, audits records, and recommends improvements.",Analytical Thinking|Attention to Detail|Safety Consciousness|Communication|Decision Making,Aviation Operations|Safety Regulations|Risk Assessment|Data Analysis|Quality Control,Aviation|Safety|Regulatory Compliance|Data Analysis|Risk Management,Bachelor's in Aviation|Master's in Safety Management,Transportation,Transportation
Ocean Freight Manager,Senior,75000,110000,5,9,"Oversees the transportation of goods via sea. Manages shipping schedules, negotiates with carriers, and ensures compliance with maritime laws.",Leadership|Negotiation|Strategic Thinking|Stakeholder Management|Cultural Awareness,Logistics|Supply Chain Management|Ocean Freight Operations|Contract Negotiation|Data Analysis|Regulatory Compliance,Supply Chain|Logistics|Global Business|Operations Management|Strategic Planning|Business Operations,Master's in Supply Chain Management|Bachelor's in International Business,Transportation,Transportation
Inventory Manager,Mid,55000,80000,3,6,"Manages inventory across warehouses and distribution centers. Tracks stock levels, forecasts needs, and implements inventory control systems.",Organization|Analytical Thinking|Decision Making|Cost Consciousness|Attention to Detail,Inventory Management|Data Analysis|Excel|Forecasting|Quality Control|Supply Chain Management,Inventory Management|Supply Chain|Data Analysis|Operations Management|Process Optimization,Bachelor's in Business Analytics|Master's in Supply Chain Management,Transportation,Transportation
Trucking Dispatcher,Junior,35000,50000,1,3,"Assigns loads to truck drivers and coordinates delivery schedules. Monitors progress, resolves issues, and communicates with drivers.",Communication|Time Management|Problem Solving|Decision Making|Team Leadership,Dispatch Software|Logistics|Data Analysis|Excel|Customer Service,Logistics|Transportation|Operations Management|Customer Relations|Data Analysis,Bachelor's in Operations Management|Associate's in Business Administration,Transportation,Transportation
Air Cargo Handler,Junior,32000,48000,0,2,"Handles loading and unloading of air cargo. Ensures proper storage, follows safety protocols, and prepares shipments for transport.",Attention to Detail|Team Leadership|Safety Consciousness|Adaptability|Physical Stamina,Cargo Handling|Logistics|Inventory Management|Safety Regulations|Quality Control,Logistics|Supply Chain|Aviation|Safety|Inventory Management,Certificate in Logistics|Associate's in Operations Management,Transportation,Transportation
Supply Chain Director,Senior,100000,150000,7,12,"Directs the strategic planning and execution of supply chain operations. Oversees teams, sets performance goals, and drives cost efficiency.",Leadership|Strategic Thinking|Vision|Stakeholder Management|Business Acumen|Decision Making,Supply Chain Management|Strategic Planning|Data Analysis|Forecasting|Business Analysis|Budgeting|Logistics,Supply Chain|Strategic Planning|Business Strategy|Operations Management|Data Analysis|Leadership Development,Master's in Supply Chain Management|Bachelor's in Business Administration|PhD in Operations Research,Transportation,Transportation
Logistics Software Specialist,Mid,60000,90000,3,6,"Implements and maintains logistics software systems. Troubleshoots issues, trains users, and optimizes technology for supply chain efficiency.",Technical Understanding|Problem Solving|Communication|Analytical Thinking|Adaptability,Logistics Software|Programming|Data Analysis|Excel|Supply Chain Management,Logistics|Technology|Software Development|Data Analysis|Supply Chain,Bachelor's in Computer Science|Master's in Information Systems,Transportation,Transportation
Transportation Engineer,Senior,80000,120000,5,10,"Designs and improves transportation systems and infrastructure. Analyzes traffic data, plans road networks, and ensures safety and efficiency.",Analytical Thinking|Problem Solving|Strategic Thinking|Technical Understanding|Communication,GIS|Traffic Analysis|Data Analysis|Logistics|Project Management|Route Optimization,Transportation|Engineering|Data Analysis|Logistics|Infrastructure|Strategic Planning,Bachelor's in Civil Engineering|Master's in Transportation Engineering,Transportation,Transportation
Warehouse Operations Analyst,Mid,50000,75000,2,5,"Analyzes warehouse operations to improve productivity. Tracks performance metrics, identifies bottlenecks, and recommends process enhancements.",Analytical Thinking|Problem Solving|Organization|Communication|Time Management,Inventory Management|Data Analysis|Excel|Process Improvement|Logistics|Quality Control,Logistics|Supply Chain|Data Analysis|Inventory Management|Process Improvement,Bachelor's in Business Analytics|Master's in Operations Management,Transportation,Transportation
Freight Auditor,Mid,45000,70000,2,5,"Reviews transportation invoices for accuracy and compliance. Identifies billing errors, negotiates refunds, and ensures cost-effective shipping.",Analytical Thinking|Attention to Detail|Communication|Cost Consciousness|Problem Solving,Data Analysis|Excel|Logistics|Financial Analysis|Contract Negotiation,Supply Chain|Logistics|Financial Analysis|Data Analysis|Business Operations,Bachelor's in Accounting|Associate's in Business Administration,Transportation,Transportation
Delivery Operations Manager,Senior,75000,110000,5,9,"Manages delivery operations across multiple regions. Oversees drivers, optimizes routes, and ensures high customer satisfaction.",Leadership|Strategic Thinking|Decision Making|Customer Relations|Organization,Logistics|Supply Chain Management|Route Optimization|Data Analysis|Customer Service|Budgeting,Logistics|Supply Chain|Operations Management|Customer Relations|Strategic Planning|Transportation,Master's in Supply Chain Management|Bachelor's in Operations Management,Transportation,Transportation
Import/Export Specialist,Mid,50000,80000,3,6,"Manages the flow of goods across international borders. Prepares documentation, ensures regulatory compliance, and coordinates with customs agencies.",Negotiation|Communication|Analytical Thinking|Cultural Awareness|Attention to Detail,Logistics|Customs Documentation|Regulatory Compliance|Data Analysis|Contract Negotiation|Supply Chain Management,Supply Chain|Logistics|Global Business|Business Operations|Regulatory Compliance|Data Analysis,Bachelor's in International Business|Master's in Supply Chain Management,Transportation,Transportation
Electrician,Journey,45000,75000,2,10,"Installs, maintains, and repairs electrical wiring, equipment, and fixtures in buildings.",Problem Solving|Attention to Detail|Safety Consciousness|Team Leadership|Communication,Electrical Wiring|Circuit Testing|Blueprint Reading|Safety Protocols|Power Tools,Electrical Systems|Technology|Troubleshooting|Hands-on Work|Safety,Certificate in Electrical Technology|Associate's in Electrical Engineering|Apprenticeship,Trades,Transportation
Plumber,Journey,40000,70000,2,10,"Installs and repairs piping systems for water, gas, and drainage in residential and commercial properties.",Problem Solving|Time Management|Safety Consciousness|Customer Relations|Adaptability,Pipe Installation|Plumbing Systems|Blueprint Reading|Welding|Leak Detection,Plumbing Systems|Problem Solving|Construction|Hands-on Work|Water Management,Certificate in Plumbing|Associate's in Plumbing Technology|Apprenticeship,Trades,Transportation
Carpenter,Journey,42000,68000,2,8,"Constructs, repairs, and installs wooden structures, frameworks, and furniture.",Attention to Detail|Creativity|Team Leadership|Communication|Persistence,Woodworking|Blueprint Reading|Power Tools|Measurement|Finishing Techniques,Woodworking|Craftsmanship|Construction|Design|Hands-on Work,Certificate in Carpentry|Associate's in Construction Technology|Apprenticeship,Trades,Transportation
HVAC Technician,Journey,46000,78000,2,10,"Installs, maintains, and repairs heating, ventilation, and air conditioning systems.",Technical Understanding|Problem Solving|Safety Consciousness|Customer Relations|Time Management,HVAC Systems|Refrigeration|Ductwork Installation|Diagnostic Tools|Maintenance Protocols,HVAC Technology|Mechanical Systems|Troubleshooting|Comfort Systems|Hands-on Work,Certificate in HVAC Technology|Associate's in HVAC Systems|Apprenticeship,Trades,Transportation
Welder,Journey,43000,72000,2,8,Joins metal parts using various welding techniques for construction and manufacturing.,Attention to Detail|Safety Consciousness|Persistence|Technical Understanding|Team Leadership,Welding Techniques|Blueprint Reading|Metal Fabrication|Safety Protocols|Grinding,Metalwork|Craftsmanship|Construction|Technology|Hands-on Work,Certificate in Welding|Associate's in Welding Technology|Apprenticeship,Trades,Transportation
Auto Mechanic,Journey,38000,65000,1,8,"Diagnoses, repairs, and maintains vehicles, focusing on engines, brakes, and transmissions.",Problem Solving|Attention to Detail|Customer Relations|Time Management|Adaptability,Engine Repair|Diagnostic Equipment|Brake Systems|Transmission Repair|Vehicle Electronics,Automotive Technology|Mechanical Systems|Troubleshooting|Cars|Hands-on Work,Certificate in Automotive Technology|Associate's in Automotive Repair|Apprenticeship,Trades,Transportation
Mason,Journey,40000,67000,2,8,"Builds and repairs structures using bricks, concrete blocks, and stones.",Attention to Detail|Team Leadership|Persistence|Safety Consciousness|Physical Stamina,Masonry Techniques|Blueprint Reading|Concrete Mixing|Bricklaying|Power Tools,Masonry|Construction|Craftsmanship|Architecture|Hands-on Work,Certificate in Masonry|Associate's in Construction Technology|Apprenticeship,Trades,Transportation
Painter,Journey,35000,60000,1,6,"Applies paint, varnish, and other finishes to buildings and structures for protection and aesthetics.",Attention to Detail|Creativity|Time Management|Customer Relations|Patience,Painting Techniques|Surface Preparation|Color Matching|Spray Painting|Safety Protocols,Painting|Art|Design|Color Theory|Hands-on Work,Certificate in Painting|Apprenticeship|High School Diploma,Trades,Transportation
Roofer,Journey,37000,62000,1,6,"Installs and repairs roofs using materials like shingles, tiles, and metal.",Safety Consciousness|Team Leadership|Persistence|Problem Solving|Adaptability,Roofing Installation|Material Handling|Blueprint Reading|Waterproofing|Safety Protocols,Roofing|Construction|Outdoor Work|Physical Activity|Hands-on Work,Certificate in Roofing|Apprenticeship|High School Diploma,Trades,Transportation
Construction Laborer,Entry,30000,45000,0,3,Assists in construction projects by performing manual labor tasks like digging and lifting.,Team Leadership|Adaptability|Safety Consciousness|Persistence|Communication,Concrete Pouring|Power Tools|Site Preparation|Material Handling|Safety Protocols,Construction|Physical Work|Teamwork|Outdoor Work|Building Projects,High School Diploma|Certificate in Construction|On-the-Job Training,Trades,Transportation
Heavy Equipment Operator,Journey,48000,80000,2,10,"Operates machinery such as bulldozers, excavators, and cranes on construction sites.",Safety Consciousness|Attention to Detail|Technical Understanding|Decision Making|Patience,Equipment Operation|Maintenance Checks|Safety Protocols|Load Management|Site Navigation,Heavy Machinery|Construction|Technology|Outdoor Work|Hands-on Work,Certificate in Heavy Equipment Operation|High School Diploma|Apprenticeship,Trades,Transportation
Pipefitter,Journey,45000,74000,2,10,Installs and maintains piping systems for industrial and commercial use.,Problem Solving|Safety Consciousness|Attention to Detail|Team Leadership|Technical Understanding,Pipe Fabrication|Welding|Blueprint Reading|Pressure Testing|Safety Protocols,Piping Systems|Construction|Mechanical Systems|Problem Solving|Hands-on Work,Certificate in Pipefitting|Associate's in Plumbing Technology|Apprenticeship,Trades,Transportation
Boilermaker,Journey,47000,76000,2,8,"Constructs, assembles, and repairs large steel containers used in industrial settings.",Safety Consciousness|Attention to Detail|Persistence|Team Leadership|Problem Solving,Boiler Assembly|Welding|Blueprint Reading|Metal Fabrication|Safety Protocols,Boiler Systems|Metalwork|Construction|Craftsmanship|Hands-on Work,Certificate in Boilermaking|Associate's in Welding Technology|Apprenticeship,Trades,Transportation
Sheet Metal Worker,Journey,42000,69000,2,8,"Fabricates and installs metal sheets for ductwork, roofing, and siding.",Attention to Detail|Creativity|Safety Consciousness|Technical Understanding|Team Leadership,Sheet Metal Fabrication|Duct Installation|Welding|Blueprint Reading|Power Tools,Metal Fabrication|Construction|Craftsmanship|Design|Hands-on Work,Certificate in Sheet Metal Technology|Associate's in Construction Technology|Apprenticeship,Trades,Transportation
Elevator Mechanic,Journey,60000,95000,3,12,"Installs, maintains, and repairs elevators, escalators, and moving walkways.",Problem Solving|Safety Consciousness|Technical Understanding|Attention to Detail|Customer Relations,Elevator Installation|Electrical Systems|Maintenance Protocols|Blueprint Reading|Safety Protocols,Elevator Systems|Technology|Mechanical Systems|Troubleshooting|Hands-on Work,Certificate in Elevator Technology|Associate's in Electrical Engineering|Apprenticeship,Trades,Transportation
Glazier,Journey,40000,65000,2,8,"Installs glass in windows, doors, and other structures.",Attention to Detail|Safety Consciousness|Creativity|Team Leadership|Patience,Glass Cutting|Window Installation|Sealant Application|Blueprint Reading|Safety Protocols,Glasswork|Construction|Design|Craftsmanship|Hands-on Work,Certificate in Glazing|Apprenticeship|High School Diploma,Trades,Transportation
Tile Setter,Journey,38000,63000,1,6,"Installs ceramic, stone, or glass tiles on floors, walls, and other surfaces.",Attention to Detail|Creativity|Patience|Customer Relations|Persistence,Tile Installation|Grouting|Surface Preparation|Measurement|Power Tools,Tiling|Design|Craftsmanship|Art|Hands-on Work,Certificate in Tile Setting|Apprenticeship|High School Diploma,Trades,Transportation
Drywall Installer,Journey,36000,61000,1,6,Installs and finishes drywall panels in buildings.,Attention to Detail|Team Leadership|Persistence|Safety Consciousness|Time Management,Drywall Installation|Taping|Sanding|Blueprint Reading|Power Tools,Construction|Craftsmanship|Building Design|Physical Work|Hands-on Work,Certificate in Drywall Installation|Apprenticeship|High School Diploma,Trades,Transportation
