job_id,job_title,job_category,level,min_salary,max_salary,min_exp,max_exp,soft_skill,hard_skill,interest,education
11,Frontend Developer,Technology,Mid,50000,80000,2,5,Communication|Problem Solving|Creativity|Attention to Detail|Team Leadership,HTML|CSS|JavaScript|React|Vue.js|Responsive Design,Web Development|User Interface|Web Animation|Design Systems|User Interface,Bachelor's in Web Development|Bachelor's in Computer Science|Associate's in Web Design
12,Backend Developer,Technology,Mid,55000,85000,2,6,Problem Solving|Communication|Analytical Thinking|Team Leadership|Attention to Detail|Adaptability,Java|Node.js|Python|SQL|NoSQL|API Design,Server Architecture|Database Design|Cloud Computing|System Optimization|Security,Bachelor's in Computer Science|Bachelor's in Software Engineering|Master's in Computer Engineering
13,Human Resources Manager,Business,Senior,65000,95000,5,9,Communication|Empathy|Conflict Resolution|Leadership|Decision Making|Negotiation|Organization,Recruiting|Employee Relations|Urban Planning|Performance Management|HR Management|Benefits Administration,Human Resources|Organizational Psychology|Organizational Development|Team Management|Organizational Psychology,Bachelor's in Human Resources|Bachelor's in Psychology|Master's in Human Resources
14,Content Writer,Creative,Junior,25000,45000,0,3,Creativity|Communication|Research|Attention to Detail|Time Management,SEO|Copywriting|SEO|Content Marketing|NLP|Social Media Marketing,Creative Writing|Digital Media|Publishing|Storytelling|Marketing,Bachelor's in English|Bachelor's in Communications|Bachelor's in Journalism
15,Systems Administrator,Technology,Mid,50000,80000,3,7,Problem Solving|Communication|Adaptability|Attention to Detail|Critical Thinking,Salesforce|Salesforce|Salesforce|PowerShell|Firewall Configuration|Usability Testing,IT Infrastructure|Cybersecurity|Cloud Computing|Cloud Computing|Automation,Bachelor's in Information Technology|Bachelor's in Computer Science|Associate's in Business Administration
16,Customer Success Manager,Business,Mid,50000,75000,2,6,Communication|Empathy|Problem Solving|Relationship Building|Patience|Conflict Resolution,CRM|Customer Acquisition|Identity Management|Customer Acquisition|Product Development,Customer Experience|Sales|Business Relationships|Psychology|Product Management,Bachelor's in Business Administration|Bachelor's in Communications|Bachelor's in Marketing
17,Mobile App Developer,Technology,Mid,55000,85000,2,6,Problem Solving|Communication|Creativity|Attention to Detail|Adaptability|Team Leadership,Swift|Kotlin|React Native|Flutter|UI Design|Continuous Deployment,Mobile Technology|Software Development|User Experience|Programming|Creativity,Bachelor's in Computer Science|Bachelor's in Mobile App Development|Bachelor's in Software Engineering
18,Business Analyst,Business,Mid,50000,80000,2,5,Analytical Thinking|Communication|Problem Solving|Critical Thinking|Attention to Detail|Decision Making,Requirements Gathering|Business Process Modeling|SQL|Excel|Data Visualization|Jira,Business Operations|Data Analysis|Process Improvement|Project Management|Technology,Bachelor's in Business Administration|Bachelor's in Information Systems|Bachelor's in Economics
19,Network Engineer,Technology,Mid,55000,85000,3,7,Problem Solving|Communication|Attention to Detail|Analytical Thinking|Adaptability,Network Security|Wireframing|Change Management|Network Security|Usability Testing|Network Security,Network Architecture|Cybersecurity|Cloud Networking|IT Infrastructure|Technical Communication,Bachelor's in Network Engineering|Bachelor's in Computer Science|Bachelor's in Information Technology
20,Social Media Manager,Creative,Mid,40000,65000,2,5,Communication|Creativity|Social Media Savvy|Time Management|Adaptability|Organization,Social Media Marketing|Content Creation|Analytics|Operations Management|Change Management|Campaign Management,Marketing|Content Strategy|Brand Management|Market Trends|Marketing,Bachelor's in Marketing|Bachelor's in Communications|Bachelor's in Digital Media
21,Full Stack Developer,Technology,Mid,60000,90000,3,7,Problem Solving|Communication|Adaptability|Team Leadership|Time Management|Attention to Detail,JavaScript|React|Node.js|MongoDB|HTML|CSS,Web Development|System Architecture|Database Design|Database Design|User Experience,Bachelor's in Computer Science|Bachelor's in Software Engineering|Bachelor's in Web Development
22,Project Manager,Business,Senior,65000,95000,4,8,Leadership|Communication|Problem Solving|Organization|Time Management|Conflict Resolution|Decision Making,Project Management|Agile|Scrum|Budgeting|Risk Management|Stakeholder Management,Project Management|Business Strategy|Team Leadership|Process Improvement|Technology,Bachelor's in Business Administration|Master's in Project Management|Bachelor's in Engineering
23,Database Administrator,Technology,Mid,55000,85000,3,7,Problem Solving|Attention to Detail|Communication|Analytical Thinking|Adaptability,SQL|SQL|MongoDB|Database Design|Hyperparameter Tuning|Cloud Security,Database Management|Data Architecture|Big Data|Cloud Databases|System Optimization,Bachelor's in Computer Science|Bachelor's in Information Systems|Bachelor's in Database Management
24,Sales Representative,Business,Junior,30000,60000,0,3,Communication|Persuasion|Relationship Building|Persistence|Adaptability|Listening,CRM|Sales Techniques|Product Development|Contract Negotiation|Procurement,Sales|Business Development|Customer Relations|Marketing|Negotiation,Bachelor's in Business Administration|Bachelor's in Marketing|Bachelor's in Communications
25,Quality Assurance Engineer,Technology,Mid,45000,75000,2,5,Attention to Detail|Communication|Problem Solving|Analytical Thinking|Patience|Critical Thinking,Penetration Testing|Usability Testing|Usability Testing|Python|Jira|Analytics,Software Quality|Automation|User Experience|Process Improvement|Customer Service,Bachelor's in Computer Science|Bachelor's in Software Engineering|Bachelor's in Information Technology
26,Technical Writer,Creative,Mid,45000,70000,2,5,Communication|Attention to Detail|Research|Storytelling|Technical Understanding|Organization,Requirements Gathering|API Design|CSS|HTML|Content Creation,Technical Communication|Software Documentation|Knowledge Management|Software Documentation|Information Architecture,Bachelor's in Communications|Bachelor's in English|Bachelor's in Computer Science
27,Operations Manager,Business,Senior,65000,95000,5,9,Leadership|Problem Solving|Communication|Decision Making|Organization|Strategic Thinking|Time Management,Operations Management|Process Improvement|Budgeting|Supply Chain Management|Resource Allocation|Project Management,Business Operations|Supply Chain|Process Optimization|Team Management|Strategic Planning,Bachelor's in Business Administration|Bachelor's in Operations Management|Master's in Business Administration
28,Data Scientist,Technology,Senior,75000,120000,4,8,Analytical Thinking|Problem Solving|Communication|Research|Critical Thinking|Attention to Detail|Creativity,Python|R|Machine Learning|SQL|Statistical Analysis|Data Visualization,Data Science|Machine Learning|Statistics|Research|Big Data|AI,Master's in Data Science|Bachelor's in Statistics|PhD in Computer Science
29,IT Support Specialist,Technology,Junior,35000,55000,0,3,Communication|Problem Solving|Patience|Attention to Detail|Adaptability,Usability Testing|Salesforce|Salesforce|Network Security|Manufacturing Processes|Customer Acquisition,IT Support|Computer Hardware|Network Architecture|Cybersecurity|User Education,Associate's in Information Technology|Bachelor's in Information Technology|Bachelor's in Computer Science
30,Content Marketing Manager,Creative,Mid,50000,80000,3,7,Communication|Creativity|Strategic Thinking|Organization|Leadership|Adaptability,Content Marketing|SEO|Analytics|Urban Planning|Social Media Marketing|Content Creation,Content Marketing|Digital Transformation|Brand Storytelling|Theater|Publishing,Bachelor's in Marketing|Bachelor's in Communications|Bachelor's in Journalism
31,Cloud Architect,Technology,Senior,85000,130000,5,10,Problem Solving|Strategic Thinking|Communication|Analytical Thinking|Leadership|Decision Making|Adaptability,AWS|Azure|Google Cloud|Kubernetes|Terraform|Cloud Security,Cloud Computing|System Architecture|Infrastructure|DevOps|Cybersecurity,Bachelor's in Computer Science|Master's in Information Technology|Bachelor's in Information Technology
32,UI Designer,Creative,Mid,45000,75000,2,5,Creativity|Attention to Detail|Communication|Problem Solving|Adaptability|Team Leadership,Figma|Adobe Photoshop|Adobe Illustrator|Typography|Color Theory|Responsive Design,User Interface|Visual Art|Web Design|Brand Identity|Design Systems,Bachelor's in Graphic Design|Bachelor's in Visual Communication|Bachelor's in Multimedia Design
33,Cybersecurity Analyst,Technology,Mid,60000,90000,3,7,Analytical Thinking|Problem Solving|Attention to Detail|Communication|Critical Thinking|Adaptability,Network Security|Vulnerability Assessment|Firewall Configuration|Security Monitoring|Incident Response|Penetration Testing,Cybersecurity|Network Security|Security|Digital Forensics|Risk Management,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Bachelor's in Information Security
34,Supply Chain Analyst,Business,Mid,50000,75000,2,5,Analytical Thinking|Problem Solving|Communication|Attention to Detail|Organization|Decision Making,Supply Chain Management|Inventory Management|Logistics|Excel|Operations Management|Data Analysis,Supply Chain|Supply Chain|Supply Chain|Business Operations|Process Optimization,Bachelor's in Supply Chain Management|Bachelor's in Business Administration|Bachelor's in Operations Management
35,Digital Marketing Specialist,Business,Mid,45000,70000,2,5,Communication|Creativity|Analytical Thinking|Adaptability|Social Media Savvy|Time Management,SEO|SEM|Google Analytics|Social Media Marketing|Email Marketing|Content Marketing,Marketing|Technology|E-Learning|Marketing|Marketing Analytics,Bachelor's in Marketing|Bachelor's in Marketing|Bachelor's in Communications
36,Research Scientist,Technology,Senior,70000,110000,5,10,Analytical Thinking|Research|Problem Solving|Communication|Critical Thinking|Attention to Detail|Creativity,Statistical Analysis|UX Design|Python|R|Data Warehousing|User Research,Scientific Research|Data Analysis|Healthcare Innovation|Machine Learning|Publishing,PhD in Computer Science|Master's in Data Science|Bachelor's in Mathematics
37,Legal Counsel,Business,Senior,80000,130000,5,10,Communication|Analytical Thinking|Negotiation|Attention to Detail|Critical Thinking|Research|Problem Solving,Legal Research|Contract Negotiation|Regulatory Compliance|Legal Research|Product Development|Legal Research,Film|Business Operations|Technology|Corporate Governance|Technology,Juris Doctor|Bachelor's in Law|Master's in Legal Studies
38,Game Developer,Creative,Mid,55000,85000,2,6,Creativity|Problem Solving|Communication|Team Leadership|Attention to Detail|Adaptability,Solidity|C#|3D Modeling|Motion Graphics|Layout Design|Animation,Game Development|3D Graphics|3D Graphics|Game Design|Computer Graphics,Bachelor's in Game Development|Bachelor's in Computer Science|Bachelor's in Interactive Media
39,HR Specialist,Business,Mid,40000,65000,2,5,Communication|Empathy|Organization|Attention to Detail|Confidentiality|Conflict Resolution,Recruiting|Aviation Operations|Employee Relations|HR Management|Benefits Administration|Accounting,Human Resources|Customer Relations|Team Management|Organizational Psychology|Healthcare Management,Bachelor's in Human Resources|Bachelor's in Psychology|Bachelor's in Business Administration
40,Financial Planner,Business,Mid,55000,90000,3,7,Communication|Analytical Thinking|Attention to Detail|Empathy|Listening|Problem Solving,Financial Analysis|Investment Analysis|Tax Preparation|Budgeting|Urban Planning|Property Management,Financial Planning|Investment Management|Financial Planning|Business Strategy|Investment Management,Bachelor's in Finance|Bachelor's in Finance|Bachelor's in Economics
41,Machine Learning Engineer,Technology,Senior,80000,120000,4,8,Problem Solving|Analytical Thinking|Research|Communication|Critical Thinking|Creativity|Attention to Detail,Python|TensorFlow|PyTorch|Deep Learning|Data Preprocessing|Model Deployment,Machine Learning|AI|Data Science|Algorithm Design|Neural Networks,Master's in Machine Learning|Bachelor's in Computer Science|PhD in Data Science
42,Video Editor,Creative,Mid,40000,65000,2,5,Creativity|Attention to Detail|Time Management|Communication|Problem Solving|Adaptability,Adobe Premiere Pro|After Effects|Final Cut Pro|Color Theory|Sound Design|Motion Graphics,Film|Film|Animation|Storytelling|Visual Effects,Bachelor's in Film Production|Bachelor's in Digital Media|Associate's in Photography
43,Accountant,Business,Mid,50000,75000,2,6,Analytical Thinking|Attention to Detail|Organization|Communication|Problem Solving|Integrity,Accounting|Tax Preparation|Bookkeeping|Excel|Excel|Financial Reporting,Accounting|Finance|Accounting|Financial Analysis|Health Policy,Bachelor's in Accounting|Bachelor's in Finance|Master's in Accounting
44,SEO Specialist,Business,Mid,45000,70000,2,5,Analytical Thinking|Communication|Problem Solving|Adaptability|Research|Attention to Detail,User Research|Google Analytics|SEO|Content Creation|SEO|Construction Management,System Optimization|Marketing|Content Strategy|Enterprise Analytics|Content Marketing,Bachelor's in Marketing|Bachelor's in Marketing|Bachelor's in Communications
45,Hardware Engineer,Technology,Mid,60000,90000,3,7,Problem Solving|Attention to Detail|Analytical Thinking|Communication|Creativity|Technical Understanding,UI Design|Layout Design|Programming|Programming|Usability Testing|Prototyping,Hardware Design|Computer Hardware|Robotics|System Architecture|IoT,Bachelor's in Electrical Engineering|Bachelor's in Computer Engineering|Master's in Computer Engineering
46,Recruiter,Business,Mid,45000,70000,2,5,Communication|Relationship Building|Persuasion|Organization|Empathy|Adaptability,Authentication Systems|Recruiting|Procurement|Recruiting|Risk Assessment|Recruiting,Training & Development|Human Resources|Organizational Psychology|Workforce Planning|Community Development,Bachelor's in Human Resources|Bachelor's in Psychology|Bachelor's in Business Administration
47,Technical Support Engineer,Technology,Mid,45000,70000,2,5,Communication|Problem Solving|Patience|Attention to Detail|Adaptability|Technical Understanding,Usability Testing|Healthcare Software|Network Security|Database Design|Customer Acquisition|Requirements Gathering,IT Support|Customer Service|Software Systems|System Optimization|Training & Development,Bachelor's in Information Technology|Bachelor's in Computer Science|Associate's in Information Technology
48,Brand Manager,Business,Senior,65000,95000,4,8,Strategic Thinking|Communication|Creativity|Leadership|Decision Making|Problem Solving|Organization,Brand Strategy|Market Research|Campaign Management|Product Development|Social Media Marketing|Budgeting,Brand Management|Marketing Strategy|Marketing|Market Trends|Product Development,Bachelor's in Marketing|Master's in Marketing|Bachelor's in Business Administration
49,3D Artist,Creative,Mid,45000,75000,2,6,Creativity|Attention to Detail|Communication|Problem Solving|Technical Understanding|Time Management,Graphic Design|Jira|Adobe XD|Solidity|3D Modeling|Graphic Design,3D Design|Animation|Game Art|Visual Effects|3D Graphics,Bachelor's in 3D Animation|Bachelor's in Game Art|Bachelor's in Digital Media
50,Risk Analyst,Business,Mid,55000,85000,3,7,Analytical Thinking|Problem Solving|Attention to Detail|Communication|Critical Thinking|Decision Making,Risk Assessment|Statistical Analysis|Financial Modeling|Regulatory Compliance|Risk Management|Data Analysis,Risk Management|Financial Analysis|Health Policy|Data Analysis|Business Strategy,Bachelor's in Finance|Bachelor's in Economics|Bachelor's in Management
51,Biomedical Engineer,Technology,Senior,70000,100000,4,8,Problem Solving|Analytical Thinking|Creativity|Attention to Detail|Communication|Technical Understanding|Research,Healthcare Software|Electronic Health Records|Excel|Sketch|Motion Graphics|Clinical Trials,Technology|Medical Research|Healthcare Innovation|Medical Devices|Medical Research,Bachelor's in Biomedical Engineering|Master's in Biomedical Engineering|Bachelor's in Mechanical Engineering
52,Public Relations Specialist,Business,Mid,45000,70000,2,5,Communication|Relationship Building|Storytelling|Creativity|Problem Solving|Adaptability,Social Media Marketing|Copywriting|Risk Management|Tourism Planning|Social Media Marketing|Stakeholder Management,Customer Relations|Digital Media|Technical Communication|Brand Management|Technical Communication,Bachelor's in Communications|Bachelor's in Communications|Bachelor's in Journalism
53,E-commerce Manager,Business,Mid,55000,85000,3,7,Strategic Thinking|Communication|Analytical Thinking|Problem Solving|Adaptability|Organization|Creativity,Salesforce|Google Analytics|Digital Marketing|Inventory Management|CRM|SEO,E-Learning|Marketing|Sales|Marketing|Sales Strategy,Bachelor's in Information Technology|Bachelor's in Marketing|Bachelor's in Business Administration
54,Robotics Engineer,Technology,Senior,75000,110000,4,8,Problem Solving|Analytical Thinking|Creativity|Technical Understanding|Attention to Detail|Communication|Research,Programming|UX Design|Security Monitoring|Reinforcement Learning|Computer Vision|Animation,Robotics|AI|Material Science|Automation|Computer Hardware,Master's in Artificial Intelligence|Bachelor's in Mechanical Engineering|Bachelor's in Computer Science
55,Animation Artist,Creative,Mid,45000,75000,2,6,Creativity|Attention to Detail|Communication|Time Management|Adaptability|Technical Understanding,Animation|Jira|Kotlin|Animation|Animation|Graphic Design,Animation|Storytelling|Character Design|Motion Graphics|Visual Art,Bachelor's in Animation|Bachelor's in Fine Arts|Bachelor's in Digital Media
56,Environmental Scientist,Business,Mid,50000,80000,3,7,Analytical Thinking|Research|Communication|Problem Solving|Attention to Detail|Critical Thinking,Environmental Management|Data Analysis|GIS|Regulatory Compliance|Environmental Management|Market Research,Environmental Science|Sustainability|Climate Science|Conservation|Ecology,Master's in Environmental Science|Bachelor's in Environmental Science|Bachelor's in Environmental Science
57,Cloud Solutions Architect,Technology,Senior,85000,130000,5,10,Problem Solving|Strategic Thinking|Communication|Leadership|Technical Understanding|Analytical Thinking|Decision Making,AWS|Azure|Google Cloud|Cloud Migration|Architecture|Architecture,Cloud Computing|System Architecture|IT Infrastructure|Digital Transformation|Enterprise Solutions,Bachelor's in Computer Science|Master's in Architecture|Bachelor's in Information Technology
58,Curriculum Developer,Creative,Mid,50000,75000,3,7,Creativity|Communication|Organization|Research|Problem Solving|Attention to Detail,UX Design|Urban Planning|Project Management|Programming|Risk Assessment|Content Creation,Education|Learning Design|Educational Technology|Teaching Methodology|Cognitive Psychology,Master's in Education|Bachelor's in Education|Bachelor's in Education
59,Investment Analyst,Business,Mid,60000,90000,3,7,Analytical Thinking|Research|Communication|Problem Solving|Attention to Detail|Critical Thinking,Financial Modeling|Investment Analysis|Financial Analysis|Excel|Excel|Real Estate Valuation,Investment Management|Financial Markets|Economics|Investment Management|Risk Management,Bachelor's in Finance|Bachelor's in Economics|Master's in Finance
60,AR/VR Developer,Technology,Mid,60000,90000,2,6,Creativity|Problem Solving|Technical Understanding|Communication|Adaptability|Attention to Detail,Solidity|Animation|C#|3D Modeling|Security Architecture|Video Editing,3D Graphics|Computer Vision|Game Development|3D Graphics|Scientific Computing,Bachelor's in Computer Science|Bachelor's in Game Development|Bachelor's in Interactive Media
61,Content Strategist,Creative,Mid,50000,80000,3,7,Strategic Thinking|Communication|Creativity|Analytical Thinking|Research|Organization|Problem Solving,Content Creation|SEO|Content Marketing|Data Analysis|Forecasting|Analytics,Content Strategy|Marketing|User Experience|Brand Storytelling|Theater,Bachelor's in Marketing|Bachelor's in Communications|Bachelor's in Journalism
62,Compliance Officer,Business,Mid,55000,85000,3,7,Attention to Detail|Communication|Analytical Thinking|Integrity|Problem Solving|Organization,Regulatory Compliance|Risk Assessment|Auditing|Strategic Planning|Security Compliance|Legal Research,Health Policy|Corporate Governance|Risk Management|Corporate Social Responsibility|Corporate Governance,Bachelor's in Business Administration|Bachelor's in Finance|Bachelor's in Law
63,IoT Engineer,Technology,Mid,60000,90000,3,7,Problem Solving|Technical Understanding|Communication|Analytical Thinking|Creativity|Adaptability,Google Cloud|Architecture|Neural Networks|Network Security|Google Cloud|Programming,IoT|System Architecture|Medical Devices|Technology|Cloud Computing,Bachelor's in Computer Engineering|Bachelor's in Electrical Engineering|Master's in Information Technology
64,Market Research Analyst,Business,Mid,50000,75000,2,5,Analytical Thinking|Communication|Research|Problem Solving|Attention to Detail|Critical Thinking,Market Analysis|Database Design|Statistical Analysis|Data Warehousing|Market Analysis|Influencer Marketing,Market Research|Marketing|Data Analysis|Business Strategy|Marketing,Bachelor's in Marketing|Bachelor's in Marketing|Bachelor's in Statistics
65,DevSecOps Engineer,Technology,Senior,75000,110000,4,8,Problem Solving|Technical Understanding|Communication|Analytical Thinking|Adaptability|Attention to Detail|Team Leadership,CI/CD|Security Automation|Containerization|Cloud Security|Infrastructure as Code|Vulnerability Assessment,DevOps|Security|Cloud Computing|Automation|Infrastructure,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Master's in Cybersecurity
66,Interior Designer,Creative,Mid,45000,75000,2,6,Creativity|Communication|Attention to Detail|Problem Solving|Adaptability|Technical Understanding,3D Modeling|3D Modeling|Urban Planning|CSS|Color Theory|UI Design,Design|System Architecture|Design|Sustainable Design|Design,Bachelor's in Interior Design|Bachelor's in Architecture|Associate's in Graphic Design
67,Healthcare Administrator,Business,Senior,65000,95000,4,8,Leadership|Communication|Problem Solving|Organization|Decision Making|Adaptability|Strategic Thinking,Regulatory Compliance|Medical Billing|Healthcare Software|Budgeting|HR Management|Medical Billing,Healthcare Management|Medical Administration|Health Policy|Patient Care|Healthcare,Master's in Healthcare Administration|Bachelor's in Healthcare Management|Bachelor's in Business Administration
68,Blockchain Developer,Technology,Mid,65000,100000,2,6,Problem Solving|Technical Understanding|Communication|Analytical Thinking|Research|Attention to Detail,Cryptography|Contract Negotiation|Solidity|JavaScript|Cryptography|Authentication Systems,Blockchain Technology|Cryptocurrency|Distributed Systems|Cybersecurity|Finance,Bachelor's in Computer Science|Bachelor's in Software Engineering|Master's in Information Technology
69,Industrial Designer,Creative,Mid,50000,80000,3,7,Creativity|Technical Understanding|Problem Solving|Communication|Attention to Detail|Adaptability,3D Modeling|3D Modeling|Prototyping|Solidity|Manufacturing Processes|Sketch,Product Development|Technology|Workplace Training|Sustainable Design|Design,Bachelor's in Industrial Design|Bachelor's in Product Design|Bachelor's in Engineering
70,Real Estate Analyst,Business,Mid,50000,80000,2,5,Analytical Thinking|Communication|Research|Problem Solving|Attention to Detail|Negotiation,Real Estate Valuation|Financial Modeling|Market Analysis|Property Management|Budgeting|Investment Analysis,Investment|Investment|Market Analysis|Business Planning|Financial Analysis,Bachelor's in Real Estate|Bachelor's in Finance|Bachelor's in Business Administration
71,Mobile Game Developer,Technology,Mid,55000,85000,2,6,Creativity|Problem Solving|Technical Understanding|Communication|Attention to Detail|Adaptability,Solidity|C#|UI Design|Motion Graphics|Portfolio Management|Conversion Rate Optimization,Game Development|Mobile Gaming|User Experience|Economics|Game Design,Bachelor's in Game Development|Bachelor's in Computer Science|Bachelor's in Interactive Media
72,Instructional Designer,Creative,Mid,50000,75000,2,5,Creativity|Communication|Problem Solving|Organization|Research|Attention to Detail,UX Design|Web Development|Project Management|Programming|Risk Assessment|Content Creation,Educational Technology|E-Learning|Learning Psychology|Learning & Development|Teaching Methodology,Master's in Education|Bachelor's in Education|Bachelor's in Information Technology
73,Business Intelligence Analyst,Business,Mid,55000,85000,3,7,Analytical Thinking|Communication|Problem Solving|Attention to Detail|Critical Thinking|Technical Understanding,SQL|Tableau|Power BI|Data Modeling|ETL|Business Analysis,Enterprise Analytics|Data Analysis|Decision Support|Data Visualization|Enterprise Analytics,Bachelor's in Business Intelligence|Bachelor's in Computer Science|Bachelor's in Information Systems
74,Ethical Hacker,Technology,Senior,70000,110000,4,8,Problem Solving|Analytical Thinking|Attention to Detail|Communication|Critical Thinking|Technical Understanding|Adaptability,Penetration Testing|Vulnerability Assessment|Network Security|Security Monitoring|Malware Analysis|Social Engineering,Cybersecurity|Security|Network Security|Digital Forensics|Risk Management,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Bachelor's in Information Security
75,Event Planner,Creative,Mid,40000,65000,2,5,Communication|Organization|Creativity|Problem Solving|Adaptability|Time Management,Operations Management|Budgeting|Vendor Management|Content Marketing|Contract Negotiation|Logistics,Database Management|Marketing|Marketing|Customer Service|Project Management,Bachelor's in Event Management|Bachelor's in Hospitality Management|Bachelor's in Communications
76,Management Consultant,Business,Senior,75000,120000,5,10,Strategic Thinking|Communication|Analytical Thinking|Problem Solving|Leadership|Decision Making|Research,Business Analysis|Process Improvement|Strategic Planning|Change Management|Stakeholder Management|Financial Analysis,Business Strategy|Organizational Development|Operations Management|Process Optimization|Leadership Development,Master's in Business Administration|Bachelor's in Business Administration|Master's in Management
77,Quantum Computing Researcher,Technology,Senior,85000,130000,5,10,Analytical Thinking|Problem Solving|Research|Technical Understanding|Communication|Creativity|Critical Thinking,AI Algorithms|Programming|C++|Solidity|Reinforcement Learning|Data Modeling,Quantum Computing|Physics|Computational Science|Mathematics|Research,PhD in Physics|PhD in Computer Science|Master's in Computational Science
78,Sound Designer,Creative,Mid,45000,70000,2,5,Creativity|Technical Understanding|Communication|Attention to Detail|Problem Solving|Adaptability,Video Editing|Sound Design|Final Cut Pro|Video Editing|Sound Design|Sound Design,Design|Theater|Art|Film|Mobile Gaming,Bachelor's in Multimedia Design|Bachelor's in Engineering|Bachelor's in Music
79,Corporate Trainer,Business,Mid,50000,75000,3,7,Communication|Leadership|Organization|Adaptability|Empathy|Problem Solving,Model Training|Conversational AI|Risk Assessment|Web Development|UX Design|Strategic Planning,Education|Learning & Development|Workplace Training|Organizational Psychology|Adult Education,Bachelor's in Education|Bachelor's in Human Resources|Bachelor's in Communications
80,Embedded Systems Engineer,Technology,Mid,60000,90000,3,7,Problem Solving|Technical Understanding|Attention to Detail|Communication|Analytical Thinking|Adaptability,Programming|UI Design|Product Development|C++|Usability Testing|Prototyping,System Architecture|Computer Hardware|IoT|Software Development|Hardware Design,Bachelor's in Electrical Engineering|Bachelor's in Computer Engineering|Master's in Architecture
81,User Researcher,Creative,Mid,55000,85000,2,6,Empathy|Communication|Research|Analytical Thinking|Attention to Detail|Problem Solving,User Research|Usability Testing|Database Design|Data Analysis|Recruiting|Product Development,User Experience|User Interface|Psychology|Design|Market Research,Bachelor's in Psychology|Master's in User Experience|Bachelor's in User Experience
82,Logistics Coordinator,Business,Mid,40000,65000,2,5,Organization|Communication|Problem Solving|Attention to Detail|Time Management|Adaptability,Supply Chain Management|Inventory Management|Logistics|Logistics|Logistics|Logistics,Supply Chain|Supply Chain|Infrastructure|Supply Chain|Statistics,Bachelor's in Supply Chain Management|Bachelor's in Supply Chain Management|Bachelor's in Business Administration
