interest_id,interest,category
157,Graphic Design,Creative & Design
158,Illustration,Creative & Design
159,Information Design,Creative & Design
160,Interactive Design,Creative & Design
161,Motion Graphics,Creative & Design
162,Photography,Creative & Design
163,Publishing,Creative & Design
164,Storytelling,Creative & Design
165,Theater,Creative & Design
166,Typography,Creative & Design
167,User Experience,Creative & Design
168,User Interface,Creative & Design
169,Visual Art,Creative & Design
170,Visual Communication,Creative & Design
171,Visual Effects,Creative & Design
172,Visual Storytelling,Creative & Design
173,Web Animation,Creative & Design
174,Web Design,Creative & Design
175,Bioinformatics,Science & Research
176,Biotechnology,Science & Research
177,Chemistry,Science & Research
178,Climate Science,Science & Research
179,Computational Chemistry,Science & Research
180,Conservation,Science & Research
181,Ecology,Science & Research
182,Environmental Science,Science & Research
183,Genomics,Science & Research
184,Material Science,Science & Research
185,Mathematics,Science & Research
186,Medical Research,Science & Research
187,Nanotechnology,Science & Research
188,Neuroscience,Science & Research
189,Pattern Recognition,Science & Research
190,Physics,Science & Research
191,Quantum Materials,Science & Research
192,Quantum Physics,Science & Research
193,Research,Science & Research
194,Research Computing,Science & Research
195,Research Methodology,Science & Research
196,Scientific Computing,Science & Research
197,Scientific Research,Science & Research
198,Social Science,Science & Research
199,Statistics,Science & Research
200,Theoretical Physics,Science & Research
201,Adult Education,Education & Learning
202,Cognitive Psychology,Education & Learning
203,E-Learning,Education & Learning
204,Education,Education & Learning
205,Educational Technology,Education & Learning
206,Instructional Design,Education & Learning
207,Knowledge Management,Education & Learning
208,Learning & Development,Education & Learning
209,Learning Design,Education & Learning
210,Learning Experience,Education & Learning
211,Learning Psychology,Education & Learning
212,Online Education,Education & Learning
213,Teaching Methodology,Education & Learning
214,Technical Communication,Education & Learning
215,Training & Development,Education & Learning
216,User Education,Education & Learning
217,Workplace Training,Education & Learning
218,Healthcare,Health & Wellness
219,Healthcare Innovation,Health & Wellness
220,Healthcare Management,Health & Wellness
221,Health Policy,Health & Wellness
222,Medical Administration,Health & Wellness
223,Medical Devices,Health & Wellness
224,Medical Science,Health & Wellness
225,Mental Health,Health & Wellness
226,Patient Care,Health & Wellness
227,Pharmaceuticals,Health & Wellness
228,Psychology,Health & Wellness
229,Public Health,Health & Wellness
230,Wellness,Health & Wellness
231,Climate Action,Social Impact & Environment
232,Community Development,Social Impact & Environment
233,Corporate Citizenship,Social Impact & Environment
234,Corporate Social Responsibility,Social Impact & Environment
235,Environmental Management,Social Impact & Environment
236,Green Business,Social Impact & Environment
237,Green Initiatives,Social Impact & Environment
238,Nonprofit Management,Social Impact & Environment
239,Philanthropy,Social Impact & Environment
240,Social Impact,Social Impact & Environment
241,Sustainability,Social Impact & Environment
242,Sustainable Design,Social Impact & Environment
243,Sustainable Development,Social Impact & Environment
244,Sustainable Fashion,Social Impact & Environment
245,Sustainable Landscaping,Social Impact & Environment
246,Sustainable Mobility,Social Impact & Environment
